Év,Nem,"Foglalkoztatottak, ezer fő","Munkanélküliek, ezer fő"
2009,férfi,2026.0,231.8
2010,férfi,1993.9,261.7
2011,férfi,2022.7,251.5
2012,férfi,2049.4,262.1
2013,férfi,2104.6,239.3
2014,férfi,2220.9,181.7
2015,férfi,2284.1,161.9
2016,férfi,2362.7,127.5
2017,férfi,2417.4,95.7
2018,férfi,2453.0,87.6
2019,férfi,2483.2,85.6
2020,férfi,2454.8,104.8
2021,férfi,2471.3,99.5
2022,férfi,2491.8,95.4
2023,férfi,2508.5,106.0
2024,férfi,2488.5,118.6
2009,nő,1868.5,185.6
2010,nő,1879.9,207.4
2011,nő,1880.3,214.0
2012,nő,1909.3,210.7
2013,nő,1924.7,201.0
2014,nő,2001.7,161.1
2015,nő,2051.0,145.7
2016,nő,2119.5,107.0
2017,nő,2130.9,95.8
2018,nő,2140.3,81.8
2019,nő,2141.1,72.3
2020,nő,2114.0,91.4
2021,nő,2138.4,94.0
2022,nő,2177.9,78.6
2023,nő,2189.0,95.2
2024,nő,2210.9,101.8
